code	display_name	weight	sw1_code	sw1_name
000001.XSHE	平安银行	4.589	801780	银行
000002.XSHE	万科A	9.849	801180	房地产
000027.XSHE	深圳能源	0.442	801160	公用事业
000039.XSHE	中集集团	0.819	801890	机械设备
000046.XSHE	泛海控股	0.368	801180	房地产
000063.XSHE	中兴通讯	1.211	801770	通信
000069.XSHE	华侨城A	2.083	801180	房地产
000100.XSHE	TCL科技	3.234	801080	电子
000157.XSHE	中联重科	1.474	801890	机械设备
000166.XSHE	申万宏源	1.42	801790	非银金融
000333.XSHE	美的集团	7.71	801110	家用电器
000338.XSHE	潍柴动力	3.346	801880	汽车
000402.XSHE	金融街	0.722	801180	房地产
000415.XSHE	渤海租赁	0.746	801790	非银金融
000425.XSHE	徐工机械	0.725	801890	机械设备
000538.XSHE	云南白药	0.906	801150	医药生物
000568.XSHE	泸州老窖	1.035	801120	食品饮料
000625.XSHE	长安汽车	1.349	801880	汽车
000630.XSHE	铜陵有色	1.232	801050	有色金属
000651.XSHE	格力电器	7.868	801110	家用电器
000656.XSHE	金科股份	0.77	801180	房地产
000671.XSHE	阳光城	0.547	801180	房地产
000703.XSHE	恒逸石化	0.771	801030	化工
000708.XSHE	中信特钢	0.107	801040	钢铁
000709.XSHE	河钢股份	1.349	801040	钢铁
000725.XSHE	京东方A	3.18	801080	电子
000776.XSHE	广发证券	1.895	801790	非银金融
000778.XSHE	新兴铸管	0.819	801040	钢铁
000783.XSHE	长江证券	1.103	801790	非银金融
000825.XSHE	太钢不锈	0.814	801040	钢铁
000858.XSHE	五粮液	3.532	801120	食品饮料
000876.XSHE	新希望	1.226	801010	农林牧渔
000895.XSHE	双汇发展	1.803	801120	食品饮料
000898.XSHE	鞍钢股份	0.728	801040	钢铁
000932.XSHE	华菱钢铁	0.632	801040	钢铁
000938.XSHE	紫光股份	0.582	801750	计算机
000961.XSHE	中南建设	0.608	801180	房地产
000963.XSHE	华东医药	0.669	801150	医药生物
000983.XSHE	西山煤电	0.605	801020	采掘
001979.XSHE	招商蛇口	2.461	801180	房地产
002024.XSHE	苏宁易购	2.09	801200	商业贸易
002027.XSHE	分众传媒	1.325	801760	传媒
002092.XSHE	中泰化学	1.146	801030	化工
002110.XSHE	三钢闽光	0.882	801040	钢铁
002142.XSHE	宁波银行	1.932	801780	银行
002146.XSHE	荣盛发展	1.088	801180	房地产
002202.XSHE	金风科技	1.416	801730	电气设备
002304.XSHE	洋河股份	1.749	801120	食品饮料
002352.XSHE	顺丰控股	0.974	801170	交通运输
002415.XSHE	海康威视	2.027	801080	电子
002475.XSHE	立讯精密	0.904	801080	电子
002493.XSHE	荣盛石化	0.61	801030	化工
002594.XSHE	比亚迪	1.464	801880	汽车
002601.XSHE	龙蟒佰利	0.914	801030	化工
002736.XSHE	国信证券	1.142	801790	非银金融
002938.XSHE	鹏鼎控股	0.11	801080	电子
003816.XSHE	中国广核	0.399	801160	公用事业
300433.XSHE	蓝思科技	0.526	801080	电子
300498.XSHE	温氏股份	3.068	801010	农林牧渔
300750.XSHE	宁德时代	0.906	801730	电气设备
