code	display_name	date	weight	sw1_code	sw1_name
600000.XSHG	浦发银行	2020-08-16	1.898	801780	银行
600009.XSHG	上海机场	2020-08-16	1.021	801170	交通运输
600016.XSHG	民生银行	2020-08-16	1.839	801780	银行
600028.XSHG	中国石化	2020-08-16	0.835	801030	化工
600030.XSHG	中信证券	2020-08-16	3.982	801790	非银金融
600031.XSHG	三一重工	2020-08-16	1.945	801890	机械设备
600036.XSHG	招商银行	2020-08-16	5.601	801780	银行
600048.XSHG	保利地产	2020-08-16	1.743	801180	房地产
600050.XSHG	中国联通	2020-08-16	0.738	801770	通信
600104.XSHG	上汽集团	2020-08-16	0.994	801880	汽车
600196.XSHG	复星医药	2020-08-16	1.172	801150	医药生物
600276.XSHG	恒瑞医药	2020-08-16	5.47	801150	医药生物
600309.XSHG	万华化学	2020-08-16	1.656	801030	化工
600519.XSHG	贵州茅台	2020-08-16	13.157	801120	食品饮料
600547.XSHG	山东黄金	2020-08-16	0.872	801050	有色金属
600585.XSHG	海螺水泥	2020-08-16	2.3	801710	建筑材料
600588.XSHG	用友网络	2020-08-16	1.192	801750	计算机
600690.XSHG	海尔智家	2020-08-16	1.063	801110	家用电器
600703.XSHG	三安光电	2020-08-16	0.941	801080	电子
600745.XSHG	闻泰科技	2020-08-16	1.067	801080	电子
600837.XSHG	海通证券	2020-08-16	1.78	801790	非银金融
600887.XSHG	伊利股份	2020-08-16	3.467	801120	食品饮料
601012.XSHG	隆基股份	2020-08-16	2.34	801730	电气设备
601066.XSHG	中信建投	2020-08-16	0.388	801790	非银金融
601088.XSHG	中国神华	2020-08-16	0.789	801020	采掘
601138.XSHG	工业富联	2020-08-16	0.452	801080	电子
601166.XSHG	兴业银行	2020-08-16	3.046	801780	银行
601186.XSHG	中国铁建	2020-08-16	0.631	801720	建筑装饰
601211.XSHG	国泰君安	2020-08-16	1.3	801790	非银金融
601236.XSHG	红塔证券	2020-08-16	0.133	801790	非银金融
601288.XSHG	农业银行	2020-08-16	1.448	801780	银行
601318.XSHG	中国平安	2020-08-16	12.829	801790	非银金融
601319.XSHG	中国人保	2020-08-16	0.237	801790	非银金融
601328.XSHG	交通银行	2020-08-16	2.041	801780	银行
601336.XSHG	新华保险	2020-08-16	0.688	801790	非银金融
601398.XSHG	工商银行	2020-08-16	2.712	801780	银行
601601.XSHG	中国太保	2020-08-16	1.253	801790	非银金融
601628.XSHG	中国人寿	2020-08-16	0.948	801790	非银金融
601658.XSHG	邮储银行	2020-08-16	0.194	801780	银行
601668.XSHG	中国建筑	2020-08-16	1.647	801720	建筑装饰
601688.XSHG	华泰证券	2020-08-16	1.909	801790	非银金融
601816.XSHG	京沪高铁	2020-08-16	0.285	801170	交通运输
601818.XSHG	光大银行	2020-08-16	0.939	801780	银行
601857.XSHG	中国石油	2020-08-16	0.675	801020	采掘
601888.XSHG	中国中免	2020-08-16	3.701	801210	休闲服务
601988.XSHG	中国银行	2020-08-16	1.095	801780	银行
601989.XSHG	中国重工	2020-08-16	0.682	801740	国防军工
603160.XSHG	汇顶科技	2020-08-16	0.592	801080	电子
603259.XSHG	药明康德	2020-08-16	1.827	801150	医药生物
603993.XSHG	洛阳钼业	2020-08-16	0.485	801050	有色金属
