code	display_name	weight	sw1_code	sw1_name
000166.XSHE	申万宏源	2.811	801790	非银金融
000686.XSHE	东北证券	0.815	801790	非银金融
000712.XSHE	锦龙股份	0.387	801790	非银金融
000728.XSHE	国元证券	1.422	801790	非银金融
000750.XSHE	国海证券	1.193	801790	非银金融
000776.XSHE	广发证券	2.742	801790	非银金融
000783.XSHE	长江证券	1.823	801790	非银金融
002500.XSHE	山西证券	1.03	801790	非银金融
002670.XSHE	国盛金控	0.653	801790	非银金融
002673.XSHE	西部证券	0.977	801790	非银金融
002736.XSHE	国信证券	2.277	801790	非银金融
002797.XSHE	第一创业	1.645	801790	非银金融
002926.XSHE	华西证券	0.923	801790	非银金融
002939.XSHE	长城证券	0.713	801790	非银金融
002945.XSHE	华林证券	0.223	801790	非银金融
002961.XSHE	瑞达期货	0.081	801790	非银金融
300059.XSHE	东方财富	9.706	801790	非银金融
600030.XSHG	中信证券	14.695	801790	非银金融
600061.XSHG	国投资本	1.519	801790	非银金融
600109.XSHG	国金证券	2.172	801790	非银金融
600155.XSHG	华创阳安	0.892	801790	非银金融
600369.XSHG	西南证券	1.026	801790	非银金融
600621.XSHG	华鑫股份	0.491	801790	非银金融
600837.XSHG	海通证券	8.022	801790	非银金融
600864.XSHG	哈投股份	0.399	801790	非银金融
600909.XSHG	华安证券	0.932	801790	非银金融
600958.XSHG	东方证券	2.319	801790	非银金融
600999.XSHG	招商证券	4.717	801790	非银金融
601066.XSHG	中信建投	1.494	801790	非银金融
601099.XSHG	太平洋	1.629	801790	非银金融
601108.XSHG	财通证券	2.109	801790	非银金融
601162.XSHG	天风证券	1.266	801790	非银金融
601198.XSHG	东兴证券	1.039	801790	非银金融
601211.XSHG	国泰君安	4.83	801790	非银金融
601236.XSHG	红塔证券	0.429	801790	非银金融
601375.XSHG	中原证券	0.436	801790	非银金融
601377.XSHG	兴业证券	2.279	801790	非银金融
601555.XSHG	东吴证券	1.945	801790	非银金融
601688.XSHG	华泰证券	7.095	801790	非银金融
601788.XSHG	光大证券	2.518	801790	非银金融
601878.XSHG	浙商证券	1.879	801790	非银金融
601881.XSHG	中国银河	0.961	801790	非银金融
601901.XSHG	方正证券	2.03	801790	非银金融
601990.XSHG	南京证券	1.368	801790	非银金融
603093.XSHG	南华期货	0.088	801790	非银金融
