code	display_name	date	weight	sw1_code	sw1_name
000166.XSHE	申万宏源	2020-08-14	3.071	801790	非银金融I
000686.XSHE	东北证券	2020-08-14	0.921	801790	非银金融I
000712.XSHE	锦龙股份	2020-08-14	0.488	801790	非银金融I
000728.XSHE	国元证券	2020-08-14	1.228	801790	非银金融I
000750.XSHE	国海证券	2020-08-14	1.254	801790	非银金融I
000776.XSHE	广发证券	2020-08-14	2.698	801790	非银金融I
000783.XSHE	长江证券	2020-08-14	1.954	801790	非银金融I
002500.XSHE	山西证券	2020-08-14	1.066	801790	非银金融I
002670.XSHE	国盛金控	2020-08-14	0.691	801790	非银金融I
002673.XSHE	西部证券	2020-08-14	1.015	801790	非银金融I
002736.XSHE	国信证券	2020-08-14	1.898	801790	非银金融I
002797.XSHE	第一创业	2020-08-14	1.599	801790	非银金融I
002926.XSHE	华西证券	2020-08-14	0.978	801790	非银金融I
002939.XSHE	长城证券	2020-08-14	0.783	801790	非银金融I
002945.XSHE	华林证券	2020-08-14	0.269	801790	非银金融I
002961.XSHE	瑞达期货	2020-08-14	0.086	801790	非银金融I
300059.XSHE	东方财富	2020-08-14	10.049	801790	非银金融I
600030.XSHG	中信证券	2020-08-14	14.592	801790	非银金融I
600061.XSHG	国投资本	2020-08-14	1.463	801790	非银金融I
600109.XSHG	国金证券	2020-08-14	2.04	801790	非银金融I
600155.XSHG	华创阳安	2020-08-14	0.96	801790	非银金融I
600369.XSHG	西南证券	2020-08-14	1.136	801790	非银金融I
600621.XSHG	华鑫股份	2020-08-14	0.539	801790	非银金融I
600837.XSHG	海通证券	2020-08-14	6.668	801790	非银金融I
600864.XSHG	哈投股份	2020-08-14	0.451	801790	非银金融I
600909.XSHG	华安证券	2020-08-14	0.856	801790	非银金融I
600958.XSHG	东方证券	2020-08-14	2.45	801790	非银金融I
600999.XSHG	招商证券	2020-08-14	4.677	801790	非银金融I
601066.XSHG	中信建投	2020-08-14	1.452	801790	非银金融I
601099.XSHG	太平洋	2020-08-14	1.725	801790	非银金融I
601108.XSHG	财通证券	2020-08-14	2.458	801790	非银金融I
601162.XSHG	天风证券	2020-08-14	1.399	801790	非银金融I
601198.XSHG	东兴证券	2020-08-14	1.108	801790	非银金融I
601211.XSHG	国泰君安	2020-08-14	4.87	801790	非银金融I
601236.XSHG	红塔证券	2020-08-14	0.5	801790	非银金融I
601375.XSHG	中原证券	2020-08-14	0.446	801790	非银金融I
601377.XSHG	兴业证券	2020-08-14	2.244	801790	非银金融I
601555.XSHG	东吴证券	2020-08-14	2.072	801790	非银金融I
601688.XSHG	华泰证券	2020-08-14	7.152	801790	非银金融I
601788.XSHG	光大证券	2020-08-14	2.741	801790	非银金融I
601878.XSHG	浙商证券	2020-08-14	1.287	801790	非银金融I
601881.XSHG	中国银河	2020-08-14	0.985	801790	非银金融I
601901.XSHG	方正证券	2020-08-14	2.064	801790	非银金融I
601990.XSHG	南京证券	2020-08-14	1.511	801790	非银金融I
603093.XSHG	南华期货	2020-08-14	0.107	801790	非银金融I
