code	display_name	weight	sw1_code	sw1_name
000001.XSHE	平安银行	2.499	801780	银行
000002.XSHE	万科A	3.17	801180	房地产
000031.XSHE	大悦城	0.12	801180	房地产
000046.XSHE	泛海控股	0.11	801180	房地产
000069.XSHE	华侨城A	0.501	801180	房地产
000166.XSHE	申万宏源	0.868	801790	非银金融
000402.XSHE	金融街	0.14	801180	房地产
000517.XSHE	荣安地产	0.039	801180	房地产
000537.XSHE	广宇发展	0.075	801180	房地产
000540.XSHE	中天金融	0.256	801180	房地产
000560.XSHE	我爱我家	0.103	801180	房地产
000563.XSHE	陕国投A	0.137	801790	非银金融
000627.XSHE	天茂集团	0.19	801790	非银金融
000656.XSHE	金科股份	0.373	801180	房地产
000671.XSHE	阳光城	0.197	801180	房地产
000686.XSHE	东北证券	0.257	801790	非银金融
000712.XSHE	锦龙股份	0.115	801790	非银金融
000718.XSHE	苏宁环球	0.089	801180	房地产
000728.XSHE	国元证券	0.38	801790	非银金融
000732.XSHE	泰禾集团	0.088	801180	房地产
000750.XSHE	国海证券	0.363	801790	非银金融
000776.XSHE	广发证券	0.817	801790	非银金融
000783.XSHE	长江证券	0.564	801790	非银金融
000918.XSHE	嘉凯城	0.062	801180	房地产
000958.XSHE	东方能源	0.065	801160	公用事业
000961.XSHE	中南建设	0.309	801180	房地产
000987.XSHE	越秀金控	0.197	801790	非银金融
001914.XSHE	招商积余	0.226	801180	房地产
001979.XSHE	招商蛇口	0.903	801180	房地产
002142.XSHE	宁波银行	1.821	801780	银行
002146.XSHE	荣盛发展	0.245	801180	房地产
002244.XSHE	滨江集团	0.133	801180	房地产
002285.XSHE	世联行	0.088	801180	房地产
002314.XSHE	南山控股	0.058	801180	房地产
002423.XSHE	中粮资本	0.032	801790	非银金融
002500.XSHE	山西证券	0.31	801790	非银金融
002647.XSHE	仁东控股	0.234	801790	非银金融
002670.XSHE	国盛金控	0.199	801790	非银金融
002673.XSHE	西部证券	0.292	801790	非银金融
002736.XSHE	国信证券	0.69	801790	非银金融
002797.XSHE	第一创业	0.463	801790	非银金融
002807.XSHE	江阴银行	0.16	801780	银行
002839.XSHE	张家港行	0.136	801780	银行
002926.XSHE	华西证券	0.287	801790	非银金融
002936.XSHE	郑州银行	0.126	801780	银行
002939.XSHE	长城证券	0.221	801790	非银金融
002945.XSHE	华林证券	0.071	801790	非银金融
002948.XSHE	青岛银行	0.073	801780	银行
002958.XSHE	青农商行	0.253	801780	银行
002961.XSHE	瑞达期货	0.025	801790	非银金融
002966.XSHE	苏州银行	0.052	801780	银行
300033.XSHE	同花顺	0.617	801750	计算机
300059.XSHE	东方财富	2.88	801790	非银金融
300803.XSHE	指南针	0.055	801750	计算机
600000.XSHG	浦发银行	2.077	801780	银行
600007.XSHG	中国国贸	0.05	801180	房地产
600015.XSHG	华夏银行	0.676	801780	银行
600016.XSHG	民生银行	2.017	801780	银行
600030.XSHG	中信证券	4.627	801790	非银金融
600036.XSHG	招商银行	6.639	801780	银行
600048.XSHG	保利地产	1.969	801180	房地产
600053.XSHG	九鼎投资	0.06	801790	非银金融
600061.XSHG	国投资本	0.438	801790	非银金融
600064.XSHG	南京高科	0.172	801180	房地产
600094.XSHG	大名城	0.159	801180	房地产
600109.XSHG	国金证券	0.643	801790	非银金融
600120.XSHG	浙江东方	0.135	801790	非银金融
600155.XSHG	华创阳安	0.282	801790	非银金融
600158.XSHG	中体产业	0.158	801760	传媒
600162.XSHG	香江控股	0.05	801180	房地产
600185.XSHG	格力地产	0.267	801180	房地产
600208.XSHG	新湖中宝	0.258	801180	房地产
600246.XSHG	万通发展	0.132	801180	房地产
600266.XSHG	城建发展	0.135	801180	房地产
600291.XSHG	西水股份	0.085	801790	非银金融
600325.XSHG	华发股份	0.205	801180	房地产
600340.XSHG	华夏幸福	0.45	801180	房地产
600369.XSHG	西南证券	0.318	801790	非银金融
600376.XSHG	首开股份	0.15	801180	房地产
600383.XSHG	金地集团	0.552	801180	房地产
600390.XSHG	五矿资本	0.301	801790	非银金融
600393.XSHG	粤泰股份	0.05	801180	房地产
600466.XSHG	蓝光发展	0.142	801180	房地产
600515.XSHG	海航基础	0.2	801180	房地产
600565.XSHG	迪马股份	0.078	801180	房地产
600570.XSHG	恒生电子	1.59	801750	计算机
600604.XSHG	市北高新	0.11	801180	房地产
600606.XSHG	绿地控股	0.477	801180	房地产
600621.XSHG	华鑫股份	0.16	801790	非银金融
600639.XSHG	浦东金桥	0.082	801180	房地产
600641.XSHG	万业企业	0.214	801180	房地产
600643.XSHG	爱建集团	0.147	801790	非银金融
600649.XSHG	城投控股	0.126	801180	房地产
600657.XSHG	信达地产	0.072	801180	房地产
600663.XSHG	陆家嘴	0.187	801180	房地产
600675.XSHG	中华企业	0.132	801180	房地产
