code	display_name	weight	sw1_code	sw1_name
300001.XSHE	特锐德	0.4639	801730	电气设备
300003.XSHE	乐普医疗	1.7352	801150	医药生物
300009.XSHE	安科生物	0.6107	801150	医药生物
300010.XSHE	豆神教育	0.5502	801750	计算机
300012.XSHE	华测检测	1.4564	801230	综合
300014.XSHE	亿纬锂能	2.3166	801730	电气设备
300015.XSHE	爱尔眼科	3.4567	801150	医药生物
300017.XSHE	网宿科技	0.6797	801770	通信
300024.XSHE	机器人	0.7391	801890	机械设备
300026.XSHE	红日药业	0.3777	801150	医药生物
300033.XSHE	同花顺	1.3537	801750	计算机
300038.XSHE	数知科技	0.2612	801760	传媒
300058.XSHE	蓝色光标	0.664	801760	传媒
300059.XSHE	东方财富	6.193	801790	非银金融
300070.XSHE	碧水源	0.6083	801160	公用事业
300072.XSHE	三聚环保	0.2997	801030	化工
300073.XSHE	当升科技	0.5237	801030	化工
300078.XSHE	思创医惠	0.3003	801080	电子
300088.XSHE	长信科技	0.9499	801080	电子
300098.XSHE	高新兴	0.2887	801770	通信
300113.XSHE	顺网科技	0.3613	801760	传媒
300115.XSHE	长盈精密	0.5417	801080	电子
300122.XSHE	智飞生物	2.9052	801150	医药生物
300124.XSHE	汇川技术	2.4397	801730	电气设备
300133.XSHE	华策影视	0.3324	801760	传媒
300136.XSHE	信维通信	1.9716	801080	电子
300142.XSHE	沃森生物	3.6225	801150	医药生物
300144.XSHE	宋城演艺	0.9732	801210	休闲服务
300146.XSHE	汤臣倍健	0.7316	801120	食品饮料
300166.XSHE	东方国信	0.4389	801750	计算机
300168.XSHE	万达信息	0.8495	801750	计算机
300180.XSHE	华峰超纤	0.2364	801030	化工
300182.XSHE	捷成股份	0.3991	801760	传媒
300188.XSHE	美亚柏科	0.354	801750	计算机
300207.XSHE	欣旺达	0.9111	801080	电子
300212.XSHE	易华录	0.6173	801750	计算机
300223.XSHE	北京君正	0.414	801080	电子
300226.XSHE	上海钢联	0.4448	801760	传媒
300244.XSHE	迪安诊断	0.7136	801150	医药生物
300251.XSHE	光线传媒	0.6535	801760	传媒
300253.XSHE	卫宁健康	1.3599	801750	计算机
300271.XSHE	华宇软件	0.6935	801750	计算机
300274.XSHE	阳光电源	0.8129	801730	电气设备
300285.XSHE	国瓷材料	1.0602	801030	化工
300294.XSHE	博雅生物	0.4279	801150	医药生物
300296.XSHE	利亚德	0.4735	801080	电子
300308.XSHE	中际旭创	0.6308	801770	通信
300315.XSHE	掌趣科技	0.8745	801760	传媒
300316.XSHE	晶盛机电	0.6164	801730	电气设备
300324.XSHE	旋极信息	0.274	801750	计算机
300347.XSHE	泰格医药	2.2607	801150	医药生物
300357.XSHE	我武生物	0.5943	801150	医药生物
300369.XSHE	绿盟科技	0.3809	801750	计算机
300383.XSHE	光环新网	1.1247	801770	通信
300408.XSHE	三环集团	1.1638	801080	电子
300413.XSHE	芒果超媒	1.5996	801760	传媒
300418.XSHE	昆仑万维	0.5592	801760	传媒
300433.XSHE	蓝思科技	1.5671	801080	电子
300450.XSHE	先导智能	0.9354	801890	机械设备
300451.XSHE	创业慧康	0.4426	801750	计算机
300454.XSHE	深信服	1.4508	801750	计算机
300457.XSHE	赢合科技	0.449	801890	机械设备
300459.XSHE	金科文化	0.2617	801760	传媒
300463.XSHE	迈克生物	0.7221	801150	医药生物
300474.XSHE	景嘉微	0.3144	801740	国防军工
300476.XSHE	胜宏科技	0.4093	801080	电子
300482.XSHE	万孚生物	0.6748	801150	医药生物
300496.XSHE	中科创达	0.9824	801750	计算机
300498.XSHE	温氏股份	4.7113	801010	农林牧渔
300529.XSHE	健帆生物	1.1822	801150	医药生物
300558.XSHE	贝达药业	1.0252	801150	医药生物
300567.XSHE	精测电子	0.3571	801890	机械设备
300595.XSHE	欧普康视	0.6821	801150	医药生物
300601.XSHE	康泰生物	2.2946	801150	医药生物
300616.XSHE	尚品宅配	0.168	801140	轻工制造
300618.XSHE	寒锐钴业	0.4228	801050	有色金属
300628.XSHE	亿联网络	0.5641	801770	通信
300630.XSHE	普利制药	0.406	801150	医药生物
300633.XSHE	开立医疗	0.2106	801150	医药生物
300661.XSHE	圣邦股份	0.9924	801080	电子
300666.XSHE	江丰电子	0.2396	801080	电子
300674.XSHE	宇信科技	0.4351	801750	计算机
300676.XSHE	华大基因	0.9639	801150	医药生物
300682.XSHE	朗新科技	0.1563	801750	计算机
300699.XSHE	光威复材	0.8161	801030	化工
300724.XSHE	捷佳伟创	0.5458	801890	机械设备
300741.XSHE	华宝股份	0.2562	801120	食品饮料
300747.XSHE	锐科激光	0.3705	801080	电子
300748.XSHE	金力永磁	0.2576	801050	有色金属
300750.XSHE	宁德时代	6.6141	801730	电气设备
300759.XSHE	康龙化成	0.7439	801150	医药生物
300760.XSHE	迈瑞医疗	5.4843	801150	医药生物
300761.XSHE	立华股份	0.1697	801010	农林牧渔
300766.XSHE	每日互动	0.3359	801750	计算机
300768.XSHE	迪普科技	0.2561	801750	计算机
300770.XSHE	新媒股份	0.657	801760	传媒
300773.XSHE	拉卡拉	0.6151	801750	计算机
300775.XSHE	三角防务	0.3578	801740	国防军工
300782.XSHE	卓胜微	0.7377	801080	电子
300783.XSHE	三只松鼠	0.1146	801120	食品饮料
